****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.019     0.077     0.002     0.001   -10.997     1.000     0.053     2.735     0.627    98.089  1000.531     1.019     0.001
         2     1.039     0.078     0.004     0.003   -10.995     1.000     0.053     2.839     1.243    96.213  1001.027     1.039     0.002
         3     1.060     0.080     0.007     0.004   -10.992     1.000     0.053     2.940     1.846    94.373  1001.513     1.060     0.003
         4     1.080     0.081     0.009     0.005   -10.990     1.000     0.053     3.039     2.437    92.566  1001.988     1.080     0.004
         5     1.101     0.083     0.011     0.007   -10.987     1.000     0.053     3.136     3.017    90.793  1002.453     1.101     0.005
         6     1.123     0.085     0.014     0.008   -10.984     1.000     0.053     3.232     3.585    89.053  1002.908     1.123     0.006
         7     1.145     0.086     0.016     0.009   -10.981     1.000     0.053     3.325     4.142    87.346  1003.353     1.145     0.007
         8     1.167     0.088     0.019     0.011   -10.978     1.000     0.053     3.417     4.688    85.670  1003.789     1.167     0.008
         9     1.190     0.090     0.022     0.012   -10.975     1.000     0.053     3.507     5.224    84.026  1004.216     1.190     0.009
        10     1.213     0.091     0.024     0.014   -10.972     1.000     0.053     3.595     5.749    82.413  1004.634     1.213     0.010
        11     1.237     0.093     0.027     0.015   -10.969     1.000     0.053     3.681     6.264    80.830  1005.043     1.237     0.012
        12     1.261     0.095     0.030     0.017   -10.966     1.000     0.053     3.766     6.768    79.277  1005.444     1.261     0.013
        13     1.286     0.097     0.032     0.019   -10.963     1.000     0.053     3.849     7.263    77.753  1005.836     1.286     0.014
        14     1.311     0.099     0.035     0.020   -10.959     1.000     0.053     3.930     7.748    76.257  1006.220     1.311     0.016
        15     1.337     0.101     0.038     0.022   -10.956     1.000     0.053     4.010     8.224    74.790  1006.596     1.337     0.017
        16     1.363     0.103     0.041     0.024   -10.953     1.000     0.053     4.088     8.690    73.350  1006.964     1.363     0.019
        17     1.390     0.105     0.044     0.025   -10.949     1.000     0.053     4.165     9.147    71.938  1007.324     1.390     0.020
        18     1.417     0.107     0.047     0.027   -10.946     1.000     0.053     4.240     9.595    70.552  1007.678     1.417     0.022
        19     1.445     0.109     0.050     0.029   -10.942     1.000     0.053     4.314    10.034    69.192  1008.023     1.445     0.024
        20     1.474     0.111     0.054     0.031   -10.938     1.000     0.053     4.386    10.465    67.858  1008.362     1.474     0.025
        21     1.503     0.113     0.057     0.033   -10.935     1.000     0.053     4.457    10.887    66.550  1008.694     1.503     0.027
        22     1.532     0.116     0.060     0.035   -10.931     1.000     0.053     4.526    11.301    65.266  1009.018     1.532     0.029
        23     1.562     0.118     0.064     0.036   -10.927     1.000     0.053     4.595    11.707    64.006  1009.336     1.562     0.031
        24     1.593     0.120     0.067     0.038   -10.923     1.000     0.053     4.661    12.105    62.770  1009.648     1.593     0.033
        25     1.624     0.122     0.071     0.040   -10.919     1.000     0.053     4.727    12.495    61.558  1009.953     1.624     0.036
        26     1.656     0.125     0.074     0.043   -10.915     1.000     0.053     4.791    12.877    60.369  1010.252     1.656     0.038
        27     1.689     0.127     0.078     0.045   -10.911     1.000     0.053     4.854    13.252    59.203  1010.545     1.689     0.040
        28     1.722     0.130     0.082     0.047   -10.906     1.000     0.053     4.916    13.620    58.058  1010.832     1.722     0.043
        29     1.756     0.132     0.085     0.049   -10.902     1.000     0.053     4.976    13.980    56.936  1011.113     1.756     0.045
        30     1.791     0.135     0.089     0.051   -10.898     1.000     0.053     5.035    14.334    55.834  1011.388     1.791     0.048
        31     1.826     0.138     0.093     0.053   -10.893     1.000     0.053     5.094    14.680    54.754  1011.658     1.826     0.051
        32     1.862     0.140     0.097     0.056   -10.888     1.000     0.053     5.150    15.020    53.695  1011.922     1.862     0.053
        33     1.899     0.143     0.101     0.058   -10.884     1.000     0.053     5.206    15.353    52.655  1012.181     1.899     0.056
        34     1.937     0.146     0.106     0.060   -10.879     1.000     0.053     5.261    15.679    51.636  1012.435     1.937     0.059
        35     1.975     0.149     0.110     0.063   -10.874     1.000     0.053     5.315    15.999    50.636  1012.684     1.975     0.063
        36     2.014     0.152     0.114     0.065   -10.869     1.007     0.053     5.368    16.313    49.655  1012.927     2.014     0.066
        37     2.054     0.155     0.119     0.068   -10.864     1.027     0.053     5.419    16.620    48.693  1013.166     2.054     0.069
        38     2.094     0.158     0.123     0.070   -10.859     1.047     0.053     5.470    16.922    47.749  1013.399     2.094     0.073
        39     2.136     0.161     0.128     0.073   -10.854     1.068     0.053     5.519    17.218    46.823  1013.628     2.136     0.077
        40     2.178     0.164     0.133     0.076   -10.848     1.089     0.053     5.568    17.508    45.915  1013.853     2.178     0.081
        41     2.221     0.167     0.138     0.078   -10.843     1.110     0.053     5.616    17.792    45.025  1014.073     2.221     0.085
        42     2.265     0.171     0.142     0.081   -10.837     1.132     0.053     5.662    18.070    44.151  1014.288     2.265     0.089
        43     2.310     0.174     0.148     0.084   -10.831     1.155     0.053     5.708    18.343    43.295  1014.499     2.310     0.093
